Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
Queen,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,delhi girl traditional family set solo honeymoon marriage get cancelled,neutral,2
Mandariinid,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",war rage abkhazia breakaway region georgia estonian man ivo decided stay behind harvest crop tangerine bloody conflict door wounded man left behind ivo take,negative,0
Bhaag Milkha Bhaag,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,truth behind ascension milkha singh scarred indiapakistan partition,negative,0
Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",clash sultan shahid khan lead expulsion khan wasseypur ignites deadly blood feud spanning three generation,negative,0
Udaan,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",expelled school year old boy return home abusive oppressive father,positive,2
Paan Singh Tomar,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",story paan singh tomar indian athlete seventime national steeplechase champion becomes one feared dacoit chambal valley retirement,neutral,1
El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,retired legal counselor writes novel hoping find closure one past unresolved homicide case unreciprocated love superior still haunt decade later,positive,2
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",youngest son alcoholic former boxer return home he trained father competition mixed martial art tournament path put fighter collision course estranged older brother,negative,0
Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",u marshal investigates disappearance murderer escaped hospital criminally insane,negative,0
Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",yearold carl fredricksen travel paradise fall house equipped balloon inadvertently taking young stowaway,positive,2
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",based true story jordan belfort rise wealthy stockbroker living high life fall involving crime corruption federal government,positive,2
Chak De! India,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,kabir khan coach indian womens national hockey team dream make girl team emerge victorious odds,neutral,2
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",story family religion hatred oil madness focusing turnofthecentury prospector early day business,positive,2
Pan's Labyrinth,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",falangist spain bookish young stepdaughter sadistic army officer escape eerie captivating fantasy world,positive,2
Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",toy mistakenly delivered daycare center instead attic right andy leaf college woody convince toy werent abandoned return home,positive,2
V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",future british tyranny shadowy freedom fighter known alias v plot overthrow help young woman,positive,2
Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",story six young indian assist english woman film documentary freedom fighter past event lead relive longforgotten saga freedom,negative,2
Black,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",cathartic tale young woman cant see hear talk teacher brings ray light dark world,positive,2
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",training mentor batman begin fight free crimeridden gotham city corruption,positive,2
